42,zperiphyton,zPC2.env.all > zPC1.zos.all > zperiphyton,,,,,environment,indirect,0.600,2.468,1.482,1.482,,,0.405,,
43,zperiphyton,zPC2.env.all > zPC2.zos.all > zperiphyton,,,,,environment,indirect,0.032,12.024,0.380,0.380,,,0.083,,
44,zperiphyton,zPC3.env.all > zPC1.zos.all > zperiphyton,,,,,environment,indirect,0.412,3.714,1.532,1.532,,,0.269,,
45,zperiphyton,zPC3.env.all > zPC2.zos.all > zperiphyton,,,,,environment,indirect,0.051,7.614,0.390,0.390,,,0.131,,
46,zperiphyton,zFC1 > zPC1.zos.all > zperiphyton,,,,,evo.history,indirect,0.442,2.468,1.090,1.090,,,0.405,,
47,zperiphyton,zFC1 > zPC2.zos.all > zperiphyton,,,,,evo.history,indirect,0.031,12.063,0.374,0.374,,,0.083,,
48,zperiphyton,zFC2 > zPC1.zos.all > zperiphyton,,,,,evo.history,indirect,-0.977,1.814,-1.772,1.772,,,0.551,,
49,zperiphyton,zFC2 > zPC2.zos.all > zperiphyton,,,,,evo.history,indirect,-0.134,2.912,-0.391,0.391,,,0.343,,
50,,,,,,,,,,,,,,,,,
51,zperiphyton,environment,,,,,wieghted mean,direct,,,0.008,0.460,,,,,
52,zperiphyton,evo.history,,,,,wieghted mean,direct,,,-0.001,0.492,,,,,
53,,,,,,,,,,,,,,,,,
54,zperiphyton,environment,,,,,wieghted mean,indirect,,,1.052,1.052,,,,,
55,zperiphyton,evo.history,,,,,wieghted mean,indirect,,,-0.145,0.753,,,,,
56,,,,,,,,,,,,,,,,,
57,zperiphyton,environment,,,,,wieghted mean,total,,,1.060,1.511,,,,,
58,zperiphyton,evo.history,,,,,wieghted mean,total,,,-0.146,1.245,,,,,
59,zperiphyton,interactions,,,,,wieghted mean,interactions,,,3.666,3.666,,,,,
60,,,,,,,,,,,,,,,,,
61,zperiphyton,environment,,,,,wieghted SUM,direct,,,0.024,1.379,,,,,
62,zperiphyton,evo.history,,,,,wieghted SUM,direct,,,-0.507,0.507,,,,,
63,,,,,,,,,,,,,,,,,
64,zperiphyton,environment,,,,,wieghted SUM,indirect,,,1.016,1.016,,,,,
65,zperiphyton,evo.history,,,,,wieghted SUM,indirect,,,-0.145,0.753,,,,,
66,,,,,,,,,,,,,,,,,
67,zperiphyton,environment,,,,,wieghted SUM,total,,,1.040,2.395,,,,,
68,zperiphyton,evo.history,,,,,wieghted SUM,total,,,-0.652,1.261,,,,,
69,zperiphyton,,,,,,wieghted SUM,interactions,,,3.666,3.666,,,,,
70,,,,,,,,,,,,,,,,,
71,zmeso.perg.atl,rPC1.env.global.atl,0.087,0.105,0.830,0.417,environment,direct,0.087,9.551,0.830,0.830,1.205,1.453,,,
72,zmeso.perg.atl,rPC2.env.global.atl,0.810,0.273,2.964,0.008,environment,direct,0.810,3.658,2.964,2.964,0.337,0.114,,,
73,zmeso.perg.atl,rPC3.env.global.atl,0.373,0.105,3.552,0.002,environment,direct,0.373,9.535,3.552,3.552,0.282,0.079,,,
74,zmeso.mass.perg,rFC1.global.atl,-0.485,0.168,-2.884,0.009,evo.history,direct,-0.485,5.947,-2.884,2.884,0.347,0.120,,,
75,zmeso.perg.atl,rFC2.global.atl,0.584,0.178,3.277,0.004,evo.history,direct,0.584,5.611,3.277,3.277,0.305,0.093,,,
76,zmeso.perg.atl,rPC1.zos.atl,1.089,0.333,3.270,0.004,,direct,1.089,3.004,3.270,3.270,0.306,0.094,,,
77,zmeso.perg.atl,rPC2.zos.atl,-0.144,0.143,-1.005,0.327,,direct,-0.144,6.993,-1.005,1.005,0.995,0.990,,,
78,zmeso.perg.atl,rPC2.env.global.atl:rPC1.zos.atl,-1.174,0.573,-2.049,0.054,,interactions,-1.174,1.745,-2.049,2.049,0.488,0.238,,,
79,,,,,,,,,,,,,,,,,
80,zmesograzer,zPC1.env.all > zPC1.zos.all > zmesograzer,,,,,environment,indirect,-0.491,5.149,-2.530,2.530,,,0.194,,
81,zmesograzer,zPC1.env.all > zPC2.zos.all > zmesograzer,,,,,environment,indirect,-0.112,8.488,-0.954,0.954,,,0.118,,
82,zmesograzer,zPC2.env.all > zPC1.zos.all > zmesograzer,,,,,environment,indirect,-0.429,4.017,-1.725,1.725,,,0.249,,
83,zmesograzer,zPC2.env.all > zPC2.zos.all > zmesograzer,,,,,environment,indirect,0.038,21.751,0.834,0.834,,,0.046,,
84,zmesograzer,zPC3.env.all > zPC1.zos.all > zmesograzer,,,,,environment,indirect,-0.295,6.119,-1.804,1.804,,,0.163,,
85,zmesograzer,zPC3.env.all > zPC2.zos.all > zmesograzer,,,,,environment,indirect,0.062,15.598,0.971,0.971,,,0.064,,
86,zmesograzer,zFC1 > zPC1.zos.all > zmesograzer,,,,,evo.history,indirect,-0.316,3.725,-1.177,1.177,,,0.268,,
87,zmesograzer,zFC1 > zPC2.zos.all > zmesograzer,,,,,evo.history,indirect,0.038,20.639,0.776,0.776,,,0.048,,
88,zmesograzer,zFC2 > zPC1.zos.all > zmesograzer,,,,,evo.history,indirect,0.699,3.207,2.240,2.240,,,0.312,,
89,zmesograzer,zFC2 > zPC2.zos.all > zmesograzer,,,,,evo.history,indirect,-0.163,5.983,-0.975,0.975,,,0.167,,
90,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,
92,zmesograzer,environment,,,,,wieghted mean,direct,,,0.323,0.323,,,,,
93,zmesograzer,evo.history,,,,,wieghted mean,direct,,,0.034,0.533,,,,,
94,,,,,,,,,,,,,,,,,
95,zmesograzer,environment,,,,,wieghted mean,indirect,,,-0.657,0.965,,,,,
96,zmesograzer,evo.history,,,,,wieghted mean,indirect,,,0.103,0.616,,,,,
97,,,,,,,,,,,,,,,,,
98,zmesograzer,environment,,,,,wieghted mean,total,,,-0.334,1.288,,,,,
99,zmesograzer,evo.history,,,,,wieghted mean,total,,,0.137,1.149,,,,,
100,zmesograzer,interactions,,,,,wieghted mean,interactions,,,-1.174,1.174,,,,,
101,,,,,,,,,,,,,,,,,
102,zmesograzer,environment,,,,,wieghted SUM,direct,,,0.969,0.969,,,,,
103,zmesograzer,evo.history,,,,,wieghted SUM,direct,,,0.068,1.066,,,,,
104,,,,,,,,,,,,,,,,,
105,zmesograzer,environment,,,,,wieghted SUM,indirect,,,-0.511,0.866,,,,,
106,zmesograzer,evo.history,,,,,wieghted SUM,indirect,,,0.103,0.616,,,,,
107,,,,,,,,,,,,,,,,,
108,zmesograzer,environment,,,,,wieghted SUM,total,,,0.458,1.835,,,,,
109,zmesograzer,evo.history,,,,,wieghted SUM,total,,,0.171,1.682,,,,,
110,zmesograzer,evo.history,,,,,wieghted SUM,interactions,,,-1.174,1.174,,,,,
