"Site.Code","Site","Subsite","Sampling.Time","Site.Code.Sampling.Time","Plot.ID","Unique.ID","Old.Species.Name","Sieve.8","Sieve.5.6","Sieve.4","Sieve.2.8","Sieve.2","Sieve.1.4","Sieve.1","Sieve.0.71","Sieve.0.5","Unknown.Size","Bodies","Heads","Total.Abundance.Whole","Total.Abundance.Partials","Molts","Measured.size","Mesured.Size","Mesured.Size.1","Mesured.Size.2","Mesured.Size.3","Mesured.Size.4","Mesured.Size.5","Mesured.Size.6","Mesured.Size.7","Mesured.Size.8","Dry.Mass.g","individuals.SizeCount","DW..g.","Species.Revised","Group.Revised","Subspecies","Species","Subgenus","Genus","Tribe","Subfamily","Family","Superfamily","Subsection","Section","Parvorder","Infraorder","Suborder","Order","Superorder","Infraclass","Subclass","Class","Superclass","Subphylum","Phylum","Finest.Taxonomic.Resolution","Finest.Taxonomic.Resolution.Level","Valid","Mobility","MobileTaxa","eat.microalgae","eat.macroalgae","eat.seagrass","eat.seagrass.detritus","suspension.feeder","detritivore.deposit.feeder","carnivore.parasite.scavenger","broadcast.spawner.brooder.lays.egg.case","lecithotrophic.planktotrophic.direct.development","northern.range.limit..lat.","southern.range.limit..lat.","mesograzer.trait","Type.Final.Inc.Unknowns"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Platynereis bicanaliculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Platynereis.bicanaliculata","Polychaete",NA,"Platynereis.bicanaliculata",NA,"Platynereis",NA,"Nereidinae","Nereididae",NA,NA,NA,NA,NA,"Nereidiformia","Phyllodocida",NA,NA,"Errantia","Polychaeta",NA,NA,"Annelida","Platynereis.bicanaliculata","Species","Include","Mobile","Worms",0,1,0,1,0,0,0,"broadcast spawner","planktotrophic",60,32,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Pontogeneia rostrata",0,0,0,0,1,2,2,4,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pontogeneia.rostrata","Gammarid",NA,"Pontogeneia.rostrata",NA,"Pontogeneia",NA,NA,"Pontogeneiidae","Calliopioidea",NA,NA,"Hadziidira","Hadziida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Pontogeneia.rostrata","Species","Include","Mobile","Crustacean",1,0,0,0,0,0,0,"brooder","direct development",48,32,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Unidentifiable amphipod",0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown.amphipoda","Gammarid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Amphipoda","Order","Include","Mobile","Crustacean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mesograzer"
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Unidentifiable caridean",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown.caridea","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caridea","Pleocyemata","Decapoda","Eucarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Caridea","Infraorder","Include","Mobile","Crustacean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB","BB.A","A",1,"BB.1",1,"BB.A.1.1","Zeuxo normani",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zeuxo.normani","Tanaid",NA,"Zeuxo.normani",NA,"Zeuxo","Anatanaini","Pancolinae","Tanaididae","Tanaidoidea",NA,NA,NA,NA,"Tanaidomorpha","Tanaidacea","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Zeuxo.normani","Species","Include","Mobile","Crustacean",1,1,NA,0,0,0,0,"brooder","direct development",53,32,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Accedomoera vagor",0,0,0,0,0,2,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Accedomoera.vagor","Gammarid",NA,"Accedomoera.vagor",NA,"Accedomoera",NA,NA,"Pontogeneiidae","Calliopioidea",NA,NA,"Hadziidira","Hadziida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Accedomoera.vagor","Species","Include","Mobile","Crustacean",0,0,0,1,0,1,1,"brooder","direct development",NA,NA,0,"FALSE"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Aoroides columbiae",0,0,0,0,1,5,2,2,0,0,1,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aoroides.columbiae","Gammarid",NA,"Aoroides.columbiae",NA,"Aoroides",NA,NA,"Aoridae","Aoroidea",NA,NA,"Corophiidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Aoroides.columbiae","Species","Include","Mobile","Crustacean",1,0,0,1,1,1,0,"brooder","direct development",52,33,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Apholocus barnardi",0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apolochus.barnardi","Gammarid",NA,"Apolochus.barnardi",NA,"Apolochus",NA,NA,"Amphilochidae",NA,NA,NA,NA,NA,"Gammaridea","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Apolochus.barnardi","Species","Include","Mobile","Crustacean",0,0,0,1,0,1,1,"brooder","direct development",NA,NA,NA,"FALSE"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Grandidierella japonica",0,0,0,0,0,4,5,1,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Grandidierella.japonica","Gammarid",NA,"Grandidierella.japonica",NA,"Grandidierella",NA,NA,"Aoridae","Aoroidea",NA,NA,"Corophiidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Grandidierella.japonica","Species","Include","Mobile","Crustacean",1,0,0,1,NA,1,NA,"brooder","direct development",50,-34,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Ischyrocerus anguipes",0,0,0,0,0,5,0,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ischyrocerus.anguipes","Gammarid",NA,"Ischyrocerus.anguipes",NA,"Ischyrocerus","Ischyrocerini","Ischyrocerinae","Ischyroceridae","Photoidea",NA,NA,"Caprellidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Ischyrocerus.anguipes","Species","Include","Mobile","Crustacean",1,0,0,0,1,0,0,"brooder","direct development",80,-47,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Monocorophium insidiosum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Monocorophium.insidiosum","Gammarid",NA,"Monocorophium.insidiosum",NA,"Monocorophium","Corophiini","Corophiinae","Corophiidae","Corophioidea",NA,NA,"Corophiidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Monocorophium.insidiosum","Species","Include","Mobile","Crustacean",1,0,0,1,1,1,0,"brooder","direct development",55,-38,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Idotea resecata",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pentidotea.resecata","Isopod",NA,"Pentidotea.resecata",NA,"Pentidotea",NA,NA,"Idoteidae",NA,NA,NA,NA,NA,"Valvifera","Isopoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Pentidotea.resecata","Species","Include","Mobile","Crustacean",1,1,1,1,0,1,NA,"brooder","direct development",54,18,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Photis brevipes",0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Photis.brevipes","Gammarid",NA,"Photis.brevipes",NA,"Photis",NA,NA,"Photidae","Photoidea",NA,NA,"Caprellidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Photis.brevipes","Species","Include","Mobile","Crustacean",0,0,0,1,1,1,0,"brooder","direct development",54,32,0,"FALSE"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Platynereis bicanaliculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Platynereis.bicanaliculata","Polychaete",NA,"Platynereis.bicanaliculata",NA,"Platynereis",NA,"Nereidinae","Nereididae",NA,NA,NA,NA,NA,"Nereidiformia","Phyllodocida",NA,NA,"Errantia","Polychaeta",NA,NA,"Annelida","Platynereis.bicanaliculata","Species","Include","Mobile","Worms",0,1,0,1,0,0,0,"broadcast spawner","planktotrophic",60,32,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Pontogeneia rostrata",0,0,0,0,0,1,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pontogeneia.rostrata","Gammarid",NA,"Pontogeneia.rostrata",NA,"Pontogeneia",NA,NA,"Pontogeneiidae","Calliopioidea",NA,NA,"Hadziidira","Hadziida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Pontogeneia.rostrata","Species","Include","Mobile","Crustacean",1,0,0,0,0,0,0,"brooder","direct development",48,32,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Unidentifiable amphipod",0,0,0,0,0,1,2,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown.amphipoda","Gammarid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Amphipoda","Order","Include","Mobile","Crustacean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mesograzer"
"BB","BB.A","A",1,"BB.1",2,"BB.A.1.2","Unidentifiable caridean",0,0,0,1,0,0,4,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown.caridea","Shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caridea","Pleocyemata","Decapoda","Eucarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Caridea","Infraorder","Include","Mobile","Crustacean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Aoroides columbiae",0,0,0,0,0,4,7,0,4,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aoroides.columbiae","Gammarid",NA,"Aoroides.columbiae",NA,"Aoroides",NA,NA,"Aoridae","Aoroidea",NA,NA,"Corophiidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Aoroides.columbiae","Species","Include","Mobile","Crustacean",1,0,0,1,1,1,0,"brooder","direct development",52,33,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Apholocus barnardi",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apolochus.barnardi","Gammarid",NA,"Apolochus.barnardi",NA,"Apolochus",NA,NA,"Amphilochidae",NA,NA,NA,NA,NA,"Gammaridea","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Apolochus.barnardi","Species","Include","Mobile","Crustacean",0,0,0,1,0,1,1,"brooder","direct development",NA,NA,NA,"FALSE"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Caprella californica",0,0,3,8,8,4,6,2,6,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Caprella.californica","Caprellid",NA,"Caprella.californica",NA,"Caprella",NA,"Caprellinae","Caprellidae","Caprelloidea",NA,NA,"Caprellidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Caprella.californica","Species","Include","Mobile","Crustacean",1,0,0,0,0,0,0,"brooder","direct development",53,32,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Erichthonius brasiliensis",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ericthonius.punctatus","Gammarid",NA,"Ericthonius.punctatus",NA,"Ericthonius","Siphonoecetini","Ischyrocerinae","Ischyroceridae","Photoidea",NA,NA,"Caprellidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Ericthonius.punctatus","Species","Include","Mobile","Crustacean",1,0,0,0,0,0,1,"brooder","direct development",59,-34,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Grandidierella japonica",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Grandidierella.japonica","Gammarid",NA,"Grandidierella.japonica",NA,"Grandidierella",NA,NA,"Aoridae","Aoroidea",NA,NA,"Corophiidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Grandidierella.japonica","Species","Include","Mobile","Crustacean",1,0,0,1,NA,1,NA,"brooder","direct development",50,-34,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Hemigrapsus nudus",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hemigrapsus.nudus","Crab",NA,"Hemigrapsus.nudus",NA,"Hemigrapsus",NA,"Varuninae","Varunidae","Grapsoidea","Thoracotremata","Eubrachyura",NA,"Brachyura","Pleocyemata","Decapoda","Eucarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Hemigrapsus.nudus","Species","Include","Mobile","Crustacean",1,1,0,0,0,0,1,"brooder","planktotrophic",54,36,1,"FALSE"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Lacuna marmorata",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lacuna.marmorata","Gastropod",NA,"Lacuna.marmorata",NA,"Lacuna",NA,"Lacuninae","Littorinidae","Littorinoidea",NA,NA,NA,NA,NA,"Littorinimorpha",NA,NA,"Caenogastropoda","Gastropoda",NA,NA,"Mollusca","Lacuna.marmorata","Species","Include","Mobile","MobileMollusc",1,1,NA,0,0,0,0,"lays egg case",NA,57,33,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Lirularia sp.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lirularia.sp.","Gastropod",NA,NA,NA,"Lirularia",NA,"Umboniinae","Trochidae","Trochoidea",NA,NA,NA,NA,NA,NA,NA,NA,"Vetigastropoda","Gastropoda",NA,NA,"Mollusca","Lirularia","Genus","Include","Mobile","MobileMollusc",1,0,0,0,0,0,0,NA,NA,NA,NA,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Parallorchestes cowani",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parallorchestes.cowani","Gammarid",NA,"Parallorchestes.cowani",NA,"Parallorchestes",NA,"Hyalinae","Hyalidae","Talitroidea",NA,NA,"Talitridira","Talitrida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Parallorchestes.cowani","Species","Include","Mobile","Crustacean",0,1,0,1,0,0,0,"brooder","direct development",54,52,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Photis brevipes",0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Photis.brevipes","Gammarid",NA,"Photis.brevipes",NA,"Photis",NA,NA,"Photidae","Photoidea",NA,NA,"Caprellidira","Corophiida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Photis.brevipes","Species","Include","Mobile","Crustacean",0,0,0,1,1,1,0,"brooder","direct development",54,32,0,"FALSE"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Platynereis bicanaliculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Platynereis.bicanaliculata","Polychaete",NA,"Platynereis.bicanaliculata",NA,"Platynereis",NA,"Nereidinae","Nereididae",NA,NA,NA,NA,NA,"Nereidiformia","Phyllodocida",NA,NA,"Errantia","Polychaeta",NA,NA,"Annelida","Platynereis.bicanaliculata","Species","Include","Mobile","Worms",0,1,0,1,0,0,0,"broadcast spawner","planktotrophic",60,32,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Pontogeneia rostrata",0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pontogeneia.rostrata","Gammarid",NA,"Pontogeneia.rostrata",NA,"Pontogeneia",NA,NA,"Pontogeneiidae","Calliopioidea",NA,NA,"Hadziidira","Hadziida","Senticaudata","Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Pontogeneia.rostrata","Species","Include","Mobile","Crustacean",1,0,0,0,0,0,0,"brooder","direct development",48,32,1,"Mesograzer"
"BB","BB.A","A",1,"BB.1",3,"BB.A.1.3","Unidentifiable amphipod 1",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown.amphipoda","Gammarid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphipoda","Peracarida",NA,"Eumalacostraca","Malacostraca","Multicrustacea","Crustacea","Arthropoda","Amphipoda","Order","Include","Mobile","Crustacean",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mesograzer"
"BB","BB.A","A",1,"BB.1",4,"BB.A.1.4","Alia carinata",0,0,3,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Alia.carinata","Gastropod",NA,"Alia.carinata",NA,"Alia",NA,NA,"Columbellidae","Buccinoidea",NA,NA,NA,NA,NA,"Neogastropoda",NA,NA,"Caenogastropoda","Gastropoda",NA,NA,"Mollusca","Alia.carinata","Species","Include","Mobile","MobileMollusc",0,0,0,0,0,0,1,"broadcast spawner","lecithotrophic",52,32,0,"Mesograzer"
