X,Site.Code,Site,Subsite,Sampling.Time,Plot.ID,Unique.ID,Ocean,Coast,Latitude,Longitude,Temperature.C,Salinity.ppt,Mean.Fetch,PopDens2,GenotypicRichness,AllelicRichness,Leaf.PercN,Leaf.PercC,Shoots.Zmarina.per.m2,Mean.Sheath.Width.cm.,Mean.Shealth.Length.cm.,Mean.Longest.Leaft.Length.cm.,Mean.Above.Zmarina.g,Mean.Below.Zmarina.g,total.macrophytes.g,Gastropoda.mesograzer.plot.abund,Gastropoda.mesograzer.plot.abund.std.g,Gastropoda.mesograzer.plot.biomass.mg,Gastropoda.mesograzer.plot.biomass.std.mg.g,Gastropoda.mesograzer.plot.richness,Insecta.mesograzer.plot.abund,Insecta.mesograzer.plot.abund.std.g,Insecta.mesograzer.plot.biomass.mg,Insecta.mesograzer.plot.biomass.std.mg.g,Insecta.mesograzer.plot.richness,Malacostraca.mesograzer.plot.abund,Malacostraca.mesograzer.plot.abund.std.g,Malacostraca.mesograzer.plot.biomass.mg,Malacostraca.mesograzer.plot.biomass.std.mg.g,Malacostraca.mesograzer.plot.richness,Polychaeta.mesograzer.plot.abund,Polychaeta.mesograzer.plot.abund.std.g,Polychaeta.mesograzer.plot.biomass.mg,Polychaeta.mesograzer.plot.biomass.std.mg.g,Polychaeta.mesograzer.plot.richness,Polyplacophora.mesograzer.plot.abund,Polyplacophora.mesograzer.plot.abund.std.g,Polyplacophora.mesograzer.plot.biomass.mg,Polyplacophora.mesograzer.plot.biomass.std.mg.g,Polyplacophora.mesograzer.plot.richness,mesograzer.total.plot.abund,mesograzer.total.plot.biomass.mg,mesograzer.total.plot.richness,mesograzer.total.plot.abund.std.g,mesograzer.total.plot.biomass.std.mg.g,Gastropoda.mesograzer.site.richness,Insecta.mesograzer.site.richness,Malacostraca.mesograzer.site.richness,Polychaeta.mesograzer.site.richness,Polyplacophora.mesograzer.site.richness,mesograzer.total.site.richness,epifauna.total.plot.abund,epifauna.total.plot.biomass.mg,epifauna.total.plot.abund.std.g,epifauna.total.plot.biomass.std.mg.g,Zostera.production,epibiota.filter,epibiota.zostera.marina,periphyton.mass.per.g.zostera
11,BB,BB.A,A,1,11,BB.A.1.11,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.540703535,34.54565048,222.8163993,0.6625,7.95,34.25,52,16,9.505,0,0,0,0,0,0,0,0,0,0,46,4.83955812730142,43.1015,4.53461336138874,1,0,0,0,0,1,0,0,0,0,0,46,43.1015,2,4.83955812730142,4.53461336138874,3,0,17,0,0,20,46,43.1015,4.83955812730142,4.53461336138874,1771.390374435,0.703,1.737,0.4047207829591249
12,BB,BB.A,A,1,12,BB.A.1.12,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.826332569,33.45331573,350.140056,0.9375,15.4,63.35,82.5,33,7.28,0,0,0,0,1,0,0,0,0,0,92,12.6373626373626,55.814,7.66675824175824,1,0,0,0,0,1,0,0,0,0,0,92,55.814,3,12.6373626373626,7.66675824175824,3,0,17,0,0,20,95,56.6788,13.0494505494505,7.78554945054945,5392.1568624,1.408,3.86,0.36476683937823834
13,BB,BB.A,A,1,13,BB.A.1.13,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.594689846,34.59199524,636.6182837,0.6875,21.125,91.125,414,147,13.543,2,0.147677767112161,5.3444,0.394624529277117,1,0,0,0,0,0,26,1.9198109724581,8.2821,0.611541017499815,1,0,0,0,0,1,0,0,0,0,0,28,13.6265,3,2.06748873957026,1.00616554677693,3,0,17,0,0,20,28,13.6265,2.06748873957026,1.00616554677693,13448.5612431625,2.818,2.818,1
14,BB,BB.A,A,1,14,BB.A.1.14,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.434334755,35.80099106,350.140056,0.925,23.525,85.925,132,133,9.308,0,0,0,0,0,0,0,0,0,0,43,4.61968199398367,16.4224,1.76433175762785,1,0,0,0,0,1,0,0,0,0,0,43,16.4224,2,4.61968199398367,1.76433175762785,3,0,17,0,0,20,45,31.4424,4.8345509239364,3.37799742157284,8237.0448174,1.267,5.515,0.22973708068902993
15,BB,BB.A,A,1,15,BB.A.1.15,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.723138809,34.31196976,413.8018844,0.82,27.025,113.675,303.5,80.5,12.214,2,0.163746520386442,2.0548,0.16823317504503,1,0,0,0,0,0,1,0.0818732601932209,0.6071,0.0497052562633044,1,0,0,0,0,1,0,0,0,0,0,3,2.6619,3,0.245619780579663,0.217938431308335,3,0,17,0,0,20,3,2.6619,0.245619780579663,0.217938431308335,11182.99592591,0.804,5.403,0.14880621876735148
16,BB,BB.A,A,1,16,BB.A.1.16,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.03084898,34.03266907,79.57728545,0.825,13.55,52.325,73,26,3.501,2,0.571265352756355,0.5469,0.156212510711225,1,0,0,0,0,0,50,14.2816338189089,20.9298,5.97823479005998,1,0,0,0,0,1,0,0,0,0,0,52,21.4767,3,14.8528991716652,6.13444730077121,3,0,17,0,0,20,52,21.4767,14.8528991716652,6.13444730077121,1078.2722178475,1.245,2.357,0.5282138311412813
17,BB,BB.A,A,1,17,BB.A.1.17,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,2.782871723,35.28675079,222.8163993,0.6625,9.0125,72.725,183,108,10.564,1,0.0946611132146914,0.395,0.0373911397198031,1,0,0,0,0,0,21,1.98788337750852,6.8814,0.651400984475577,1,0,0,0,0,1,0,0,0,0,0,22,7.2764,3,2.08254449072321,0.688792124195381,3,0,17,0,0,20,24,7.7803,2.27186671715259,0.736491859144264,2008.13279869125,0.152,2.566,0.059236165237724084
18,BB,BB.A,A,1,18,BB.A.1.18,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.110911608,36.90607834,127.3236567,0.7,13.825,65.7625,208,93,7.009,3,0.428021115708375,4.727,0.674418604651163,1,0,0,0,0,0,8,1.141389641889,4.0895,0.583464117563133,1,0,0,0,0,1,0,0,0,0,0,11,8.8165,3,1.56941075759737,1.2578827222143,3,0,17,0,0,20,11,8.8165,1.56941075759737,1.2578827222143,1760.2495538775,0.381,2.269,0.16791538122520933
19,BB,BB.A,A,1,19,BB.A.1.19,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.417699575,36.276577,159.1545709,0.625,8.875,57.825,146,28.5,5.47,7,1.27970749542962,2.425,0.443327239488117,1,0,0,0,0,0,53,9.68921389396709,63.9442,11.6899817184644,1,0,0,0,0,1,0,0,0,0,0,60,66.3692,3,10.9689213893967,12.1333089579525,3,0,17,0,0,20,63,66.7982,11.5173674588665,12.2117367458867,1412.4968167375,0.932,2.082,0.4476464937560039
20,BB,BB.A,A,1,20,BB.A.1.20,Pacific,East Pacific,38.319755,-123.055136,13,33,0.72625,5,1,6.72,3.431146622,35.57040024,509.2946269,0.7125,16.05,57.45,117.5,64.5,6.657,8,1.20174252666366,2.3338,0.350578338590957,1,0,0,0,0,0,57,8.56241550247859,21.4179,3.21735015772871,1,0,0,0,0,1,0,0,0,0,0,65,23.7517,3,9.76415802914225,3.56792849631966,3,0,17,0,0,20,66,24.1126,9.91437584497521,3.62214210605378,8174.178761745,0.807,2.69,0.30000000000000004
21,BB,BB.B,B,1,1,BB.B.1.1,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.561345339,34.08238602,541.1255411,0.7,12.225,62.425,215.5,291,9.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,15,0,0,18,0,0,0,0,6615.2597399475,0.386,2.07,0.18647342995169083
22,BB,BB.B,B,1,2,BB.B.1.2,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.345352173,33.74735641,95.49274255,0.725,12.425,47.65,211.5,128,7.083,3,0.423549343498518,4.727,0.667372582239164,1,0,0,0,0,0,30,4.23549343498518,7.6893,1.08559932232105,1,0,0,0,0,1,0,0,0,0,0,33,12.4163,3,4.65904277848369,1.75297190456021,3,0,15,0,0,18,33,12.4163,4.65904277848369,1.75297190456021,1186.49732618375,0.664,2.286,0.2904636920384952
23,BB,BB.B,B,1,3,BB.B.1.3,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.004268169,33.45096588,413.8018844,0.825,13.075,63.15,191,137,7.186,1,0.139159476760367,0.395,0.0549679933203451,1,0,0,0,0,0,20,2.78318953520735,2.9293,0.407639855274144,1,0,0,0,0,1,0,0,0,0,0,21,3.3243,3,2.92234901196771,0.462607848594489,3,0,15,0,0,18,21,3.3243,2.92234901196771,0.462607848594489,5410.45963853,0.543,2.613,0.20780711825487946
24,BB,BB.B,B,1,4,BB.B.1.4,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.568216085,34.54442215,477.4637128,0.925,16.725,66.2,176,128.5,9.881,2,0.20240866309078,18.4714,1.86938568970752,1,0,0,0,0,0,38,3.84576459872483,6.9194,0.700273251695173,1,0,0,0,0,1,0,0,0,0,0,40,25.3908,3,4.04817326181561,2.56965894140269,3,0,15,0,0,18,40,25.3908,4.04817326181561,2.56965894140269,7985.58059658,0.595,3.425,0.17372262773722627
25,BB,BB.B,B,1,5,BB.B.1.5,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,1.884853005,31.80354309,572.9564553,0.725,13.35,68.525,246.5,59,14.157,0,0,0,0,0,0,0,0,0,0,64,4.52073179345907,18.3799,1.2982905982906,1,0,0,0,0,1,0,0,0,0,0,64,18.3799,2,4.52073179345907,1.2982905982906,3,0,15,0,0,18,65,18.3799,4.59136822773186,1.2982905982906,7648.968678255,0.456,2.506,0.18196328810853954
26,BB,BB.B,B,1,6,BB.B.1.6,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.04253602,35.29281998,254.6473135,0.8,17.05,64.325,111.5,211.5,8.878,3,0.337913944582113,9.0049,1.01429375985582,1,0,0,0,0,0,76,8.5604865960802,21.0402,2.36992565893219,1,0,0,0,0,1,0,0,0,0,0,79,30.0451,3,8.89840054066231,3.38421941878802,3,0,15,0,0,18,79,30.0451,8.89840054066231,3.38421941878802,4341.736695175,0.507,2.653,0.1911044101017716
27,BB,BB.B,B,1,7,BB.B.1.7,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,1.687119484,33.73828125,190.9854851,0.8,12.075,51.425,205,121,2.361,1,0.423549343498518,0.1519,0.0643371452774248,1,0,0,0,0,0,13,5.50614146548073,2.5083,1.06238881829733,1,0,0,0,0,1,0,0,0,0,0,14,2.6602,3,5.92969080897925,1.12672596357476,3,0,15,0,0,18,14,2.6602,5.92969080897925,1.12672596357476,2306.1497325825,0.418,2.276,0.18365553602811951
28,BB,BB.B,B,1,8,BB.B.1.8,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.056959152,34.48915482,413.8018844,0.925,14.8,59.55,235.5,249.5,5.563,5,0.898795613877404,35.6762,6.41312241596261,1,0,0,0,0,0,29,5.21301456048895,5.7219,1.02856372460902,1,0,0,0,0,1,0,0,0,0,0,34,41.3981,3,6.11181017436635,7.44168614057164,3,0,15,0,0,18,34,41.3981,6.11181017436635,7.44168614057163,6124.26788912,0.461,4.406,0.10463004993191104
29,BB,BB.B,B,1,9,BB.B.1.9,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,1.630676031,34.39681625,254.6473135,0.825,13.275,55.475,259.5,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3380.4430867125,0.383,3.521,0.10877591593297359
30,BB,BB.B,B,1,10,BB.B.1.10,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,1.6407125,32.55962753,222.8163993,0.85,15.475,76.175,271.5,213,11.549,17,1.47198891678933,196.8989,17.0489999134124,1,0,0,0,0,0,62,5.36843016711404,12.9813,1.12401939561867,1,0,0,0,0,1,0,0,0,0,0,79,209.8802,3,6.84041908390337,18.1730193090311,3,0,15,0,0,18,80,209.8802,6.92700666724392,18.1730193090311,3448.0837791675,0.451,3.759,0.11997871774408088
31,BB,BB.B,B,1,11,BB.B.1.11,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.504442453,33.53513718,509.2946269,0.925,25.025,94.475,159.5,199,12.484,3,0.240307593719962,19.4988,1.56190323614226,1,0,0,0,0,0,115,9.21179109259853,132.5341,10.6163168856136,1,0,0,0,0,1,0,0,0,0,0,118,152.0329,3,9.45209868631849,12.1782201217558,3,0,15,0,0,18,121,152.8229,9.69240628003845,12.2415011214354,12745.0980381725,0.879,6.645,0.1322799097065463
32,BB,BB.B,B,1,12,BB.B.1.12,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.175728798,32.19400024,1145.912911,0.875,22.65,87.4,311.5,222.5,13.856,9,0.649538106235566,59.5181,4.29547488452656,1,0,0,0,0,0,27,1.9486143187067,43.5599,3.14375721709007,1,0,0,0,0,1,0,0,0,0,0,36,103.078,3,2.59815242494226,7.43923210161663,3,0,15,0,0,18,39,103.473,2.81466512702079,7.4677396073903,25954.92743415,0.865,5.844,0.14801505817932922
33,BB,BB.B,B,1,13,BB.B.1.13,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.49053669,33.59374619,509.2946269,0.9625,24.175,89.225,223.5,182,12.81,19,1.4832162373146,38.9883,3.0435831381733,1,0,0,0,0,0,54,4.21545667447307,43.7546,3.41565964090554,1,0,0,0,0,1,0,0,0,0,0,73,82.7429,3,5.69867291178767,6.45924277907884,3,0,15,0,0,18,73,82.7429,5.69867291178767,6.45924277907884,12312.1976053075,0.397,6.698,0.05927142430576291
34,BB,BB.B,B,1,14,BB.B.1.14,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,1.645251989,32.28353119,445.6327986,0.775,20.7,80.15,267.5,213,14.625,10,0.683760683760684,45.5213,3.11256752136752,1,0,0,0,0,0,87,5.94871794871795,18.3442,1.25430427350427,1,0,0,0,0,1,0,0,0,0,0,97,63.8655,3,6.63247863247863,4.36687179487179,3,0,15,0,0,18,97,63.8655,6.63247863247863,4.36687179487179,9224.59893102,0.621,3.563,0.17429132753297782
35,BB,BB.B,B,1,15,BB.B.1.15,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,3.169179916,44.57437897,763.9419404,0.825,21.3,89.375,280.5,179.5,8.954,3,0.335045789591244,36.5478,4.08172883627429,1,0,0,0,0,0,17,1.89859280768372,6.4785,0.723531382622292,1,0,0,0,0,1,0,0,0,0,0,20,43.0263,3,2.23363859727496,4.80526021889658,3,0,15,0,0,18,20,43.0263,2.23363859727496,4.80526021889658,16271.96333052,0.855,5.167,0.16547319527772403
36,BB,BB.B,B,1,16,BB.B.1.16,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,1.849154592,24.97573471,222.8163993,0.825,16.625,70.75,173,247.5,7.967,4,0.502071043052592,10.4123,1.30692858039413,1,0,0,0,0,0,41,5.14622819128907,16.1254,2.0240240994100702,1,0,0,0,0,1,0,0,0,0,0,45,26.5377,3,5.64829923434166,3.33095267980419,3,0,15,0,0,18,46,26.5377,5.77381699510481,3.33095267980419,3704.3226383625,0.253,4.589,0.05513183700152538
37,BB,BB.B,B,1,17,BB.B.1.17,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.124500036,38.15991974,318.3091418,0.9,18.975,84.075,403.5,151,5.548,5,0.901225666906993,12.7045,2.28992429704398,1,0,0,0,0,0,29,5.22710886806056,10.4325,1.88040735400144,1,0,0,0,0,1,0,0,0,0,0,34,23.137,3,6.12833453496756,4.17033165104542,3,0,15,0,0,18,34,23.137,6.12833453496756,4.17033165104542,6039.915965655,0.572,5.426,0.10541835606339844
38,BB,BB.B,B,1,18,BB.B.1.18,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,2.328992605,41.9046669,63.66182837,0.6,18.975,91.3,236,219,10.086,8,0.793178663493952,27.4299,2.71960142772159,1,0,0,0,0,0,32,3.17271465397581,23.5218,2.3321237358715,1,0,0,0,0,1,0,0,0,0,0,40,50.9517,3,3.96589331746976,5.0517251635931,3,0,15,0,0,18,40,50.9517,3.96589331746976,5.0517251635931,1207.98319332075,0.744,6.585,0.11298405466970388
39,BB,BB.B,B,1,19,BB.B.1.19,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,1.441683769,29.40493011,222.8163993,0.875,15.875,77.875,380.5,132,8.992,0,0,0,0,0,0,0,0,0,0,42,4.67081850533808,10.1725,1.13128336298932,1,0,0,0,0,1,0,0,0,0,0,42,10.1725,2,4.67081850533808,1.13128336298932,3,0,15,0,0,18,43,10.1725,4.78202846975089,1.13128336298932,3537.2103388875,0.204,3.425,0.05956204379562044
40,BB,BB.B,B,1,20,BB.B.1.20,Pacific,East Pacific,38.1496437,-122.9063846,18.4,34,0.5825,5,0.95,6.54,1.366449237,9.315045357,159.1545709,0.8,16.45,86.65,262,202.5,8.468,19,2.24374114312707,37.5866,4.43866320264525,1,0,0,0,0,0,68,8.03023145961266,32.6996,3.86154936230515,1,0,0,0,0,1,0,0,0,0,0,87,70.2862,3,10.2739726027397,8.3002125649504,3,0,15,0,0,18,88,70.2862,10.3920642418517,8.3002125649504,2618.092691305,0.334,4.908,0.0680521597392013
41,BC,BC.A,A,1,1,BC.A.1.1,Pacific,East Pacific,49,-123.1,24.5,26,7.3,5,1,5.2,1.828665972,27.74839783,95.49274255,0.83,19.11,68.26,64,92,20.422,36,1.76280481833317,219.6964,10.7578297914014,1,0,0,0,0,0,55,2.69317402800901,46.98,2.30046028792479,1,10,0.489668005092547,90.4625,4.42965919106846,1,0,0,0,0,0,101,357.1389,3,4.94564685143473,17.4879492703947,6,0,10,2,0,18,147,367.1596,7.19811967486044,17.9786308882578,1824.8663101305,0.0328,5.7757,0.005678965320220926
42,BC,BC.A,A,1,2,BC.A.1.2,Pacific,East Pacific,49,-123.1,24.5,26,7.3,5,1,5.2,3.371038198,46.1453743,127.3236567,0.88,21.68,75.15,34,100,13.588,8,0.588754783632617,24.1301,1.77583897556668,1,0,0,0,0,0,24,1.76626435089785,4.202,0.309243450103032,1,15,1.10391521931116,110.1522,8.10657933470709,1,0,0,0,0,0,47,138.4843,3,3.45893435384162,10.1916617603768,6,0,10,2,0,18,55,139.9211,4.04768913747424,10.2974021195172,2760.376877256,0.0428,3.8683,0.011064291807770854
43,BC,BC.A,A,1,3,BC.A.1.3,Pacific,East Pacific,49,-123.1,24.5,26,7.3,5,1,5.2,1.653396964,26.04760933,NA,0.78,18.13,51.15,53,92.5,3.1962,15,4.69307302421626,120.5188,37.706901946061,1,0,0,0,0,0,1,0.31287153494775,0.0841,0.0263124960891058,1,1,0.31287153494775,11.78,3.6856266816845,1,0,0,0,0,0,17,132.3829,3,5.31881609411176,41.4188411238346,6,0,10,2,0,18,19,132.8868,5.94455916400726,41.5764970902947,NA,0.0595,3.2055,0.01856184682576821
44,BC,BC.A,A,1,4,BC.A.1.4,Pacific,East Pacific,49,-123.1,24.5,26,7.3,5,1,5.2,2.491944551,35.05879593,NA,0.85,18.84,69.87,59,120,5.992,15,2.50333778371162,98.2662,16.3995660881175,1,0,0,0,0,0,15,2.50333778371162,40.5807,6.77247997329773,1,11,1.83578104138852,76.1131,12.702453271028,1,0,0,0,0,0,41,214.96,3,6.84245660881175,35.8744993324432,6,0,10,2,0,18,44,218.3142,7.34312416555407,36.4342790387183,NA,0.0292,4.0672,0.007179386309992133
